# dt=0.01, m=1.00, gamma=1.00, R=50.00
# t	 x	 y	 vx	 vy
1.37 9.317 10.314 4.147 2.498
1.38 9.359 10.339 3.9 1.755
1.39 9.398 10.357 3.743 2.002
1.4 9.436 10.377 4.079 1.741
1.41 9.477 10.394 4.065 1.522
1.42 9.517 10.41 4.14 1.717
1.43 9.559 10.427 3.759 1.565
1.44 9.597 10.443 3.639 1.772
1.45 9.633 10.46 3.365 1.603
1.46 9.667 10.477 3.538 1.538
1.47 9.703 10.492 3.544 1.43
1.48 9.738 10.506 3.532 1.758
1.49 9.774 10.524 3.594 1.659
1.5 9.81 10.541 3.584 1.348
1.51 9.846 10.554 3.051 1.246
1.52 9.877 10.567 2.676 1.067
1.53 9.904 10.578 2.309 1.235
1.54 9.927 10.59 2.259 1.083
1.55 9.949 10.601 2.467 1.376
1.56 9.974 10.615 2.252 1.338
1.57 9.997 10.628 2.352 1.348
1.58 10.021 10.642 2.395 0.987
1.59 10.045 10.652 2.548 0.674
1.6 10.07 10.658 2.533 0.365
1.61 10.096 10.662 2.733 0.34
1.62 10.123 10.665 2.422 0.362
1.63 10.147 10.669 2.482 -0.002
1.64 10.172 10.669 2.335 0.035
1.65 10.196 10.669 2.655 -0.214
1.66 10.223 10.667 2.678 -0.414
1.67 10.249 10.663 2.66 -0.129
1.68 10.276 10.662 2.561 0.148
1.69 10.302 10.663 2.562 -0.182
1.7 10.328 10.661 2.793 0.113
1.71 10.356 10.663 2.962 0.156
1.72 10.386 10.664 2.581 0.255
1.73 10.411 10.667 2.52 0.364
1.74 10.437 10.67 2.345 0.754
1.75 10.46 10.678 3.021 1.059
1.76 10.491 10.689 2.755 1.313
1.77 10.518 10.702 2.32 1.847
1.78 10.542 10.72 2.484 1.634
1.79 10.567 10.737 2.447 1.302
1.8 10.591 10.75 2.284 1.147
1.81 10.614 10.761 2.164 1.541
1.82 10.636 10.777 1.95 1.971
1.83 10.656 10.797 1.942 1.983
1.84 10.675 10.817 2.004 1.779
1.85 10.695 10.834 2.17 1.601
1.86 10.717 10.851 2.532 1.329
1.87 10.742 10.864 2.406 1.205
1.88 10.767 10.876 2.352 1.401
1.89 10.79 10.89 2.05 1.675
1.9 10.811 10.907 2.067 1.482
1.91 10.832 10.922 2.148 1.308
1.92 10.853 10.935 2.291 1.334
1.93 10.876 10.948 2.217 1.414
1.94 10.899 10.963 2.195 1.013
1.95 10.921 10.973 2.333 0.852
1.96 10.944 10.981 2.412 1.304
1.97 10.968 10.994 2.51 1.136
1.98 10.994 11.006 2.761 1.213
1.99 11.021 11.018 2.426 1.396
2.0 11.046 11.032 2.316 1.192
2.01 11.069 11.044 2.584 1.297
2.02 11.095 11.057 2.577 1.103
2.03 11.121 11.068 2.6 1.042
2.04 11.147 11.079 2.425 0.691
2.05 11.171 11.086 2.592 0.582
2.06 11.197 11.091 2.723 0.427
2.07 11.225 11.096 2.776 0.441
2.08 11.253 11.1 2.66 0.509
2.09 11.279 11.105 3.202 0.338
